link_id,entity_id,topic,score
R000000,E000525,topic,0.8821
R000001,E001933,topic,0.6638
R000002,E001747,topic,0.1005
R000003,E000302,topic,0.6549
R000004,E000400,topic,0.5563
R000005,E001316,topic,0.7085
R000006,E000275,topic,0.1867
R000007,E001770,topic,0.431
R000008,E001344,topic,0.8058
R000009,E000982,topic,0.9491
R000010,E000011,topic,0.6563
R000011,E000618,topic,0.2122
R000012,E000803,topic,0.7526
R000013,E001741,topic,0.2094
R000014,E001253,topic,0.5802
R000015,E001032,topic,0.2151
R000016,E001518,topic,0.1749
R000017,E001642,topic,0.5977
R000018,E001014,topic,0.0782
R000019,E001935,topic,0.4672
R000020,E000346,topic,0.2091
R000021,E000598,topic,0.3691
R000022,E001993,topic,0.5531
R000023,E001999,topic,0.9251
R000024,E001436,topic,0.7602
R000025,E000016,topic,0.9683
R000026,E000350,topic,0.0306
R000027,E001175,topic,0.1271
R000028,E000310,topic,0.2538
R000029,E001647,topic,0.8161
R000030,E000420,topic,0.1047
R000031,E000753,topic,0.5
R000032,E001337,topic,0.3653
R000033,E001647,topic,0.8999
R000034,E000631,topic,0.8518
R000035,E001453,topic,0.5414
R000036,E000565,topic,0.6735
R000037,E001325,topic,0.2358
R000038,E001072,topic,0.6117
R000039,E000367,topic,0.2388
R000040,E000245,topic,0.1161
R000041,E001688,topic,0.2237
R000042,E000733,topic,0.7644
R000043,E001657,topic,0.5332
R000044,E001210,topic,0.3082
R000045,E000067,topic,0.2458
R000046,E000285,topic,0.6074
R000047,E000543,topic,0.2731
R000048,E001903,topic,0.0527
R000049,E001969,topic,0.8197
R000050,E001127,topic,0.5857
R000051,E000918,topic,0.628
R000052,E001929,topic,0.0569
R000053,E001641,topic,0.1209
R000054,E001790,topic,0.7923
R000055,E001247,topic,0.6554
R000056,E001388,topic,0.7447
R000057,E000385,topic,0.1426
R000058,E000080,topic,0.2178
R000059,E000821,topic,0.4304
R000060,E001360,topic,0.4593
R000061,E000623,topic,0.0435
R000062,E000272,topic,0.9488
R000063,E000285,topic,0.8581
R000064,E001641,topic,0.2472
R000065,E001759,topic,0.9717
R000066,E001241,topic,0.4846
R000067,E000094,topic,0.7968
R000068,E000991,topic,0.1984
R000069,E000620,topic,0.8966
R000070,E001191,topic,0.6277
R000071,E000989,topic,0.0804
R000072,E001846,topic,0.8733
R000073,E000491,topic,0.9394
R000074,E000159,topic,0.8736
R000075,E000261,topic,0.7846
R000076,E001321,topic,0.6577
R000077,E000722,topic,0.5423
R000078,E001771,topic,0.236
R000079,E001513,topic,0.195
R000080,E001006,topic,0.4658
R000081,E000701,topic,0.986
R000082,E001901,topic,0.677
R000083,E000684,topic,0.9729
R000084,E000168,topic,0.564
R000085,E000810,topic,0.1485
R000086,E001114,topic,0.6506
R000087,E001283,topic,0.8785
R000088,E001540,topic,0.8565
R000089,E001953,topic,0.5318
R000090,E000634,topic,0.8025
R000091,E001731,topic,0.3983
R000092,E000988,topic,0.0011
R000093,E000265,topic,0.1978
R000094,E001375,topic,0.8959
R000095,E000235,topic,0.9782
R000096,E000256,topic,0.9112
R000097,E000885,topic,0.6322
R000098,E001522,topic,0.9537
